epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6039,1.33611,2.87021,1.64364,0.57454,0.85,0.87817,0.63489,1.64738,1.07188,1.38135,0,0,0
2,13.646,1.20416,2.69498,1.511,0.56574,0.85,0.8488,0.6319,1.64478,1.06182,1.37173,1.17822e-06,1.17822e-06,1.17822e-06
3,16.7451,1.1601,3.63472,1.57315,0.55956,0.85,0.85083,0.63276,1.66527,1.06255,1.37731,2.33288e-06,2.33288e-06,2.33288e-06
4,20.0078,1.27724,2.74093,1.38866,0.56026,0.85,0.84952,0.61586,1.65912,1.05503,1.37599,3.46397e-06,3.46397e-06,3.46397e-06
5,22.9322,1.37198,3.08582,1.72634,0.5651,0.85,0.85526,0.63771,1.65728,1.04231,1.36954,4.5715e-06,4.5715e-06,4.5715e-06
6,25.9756,1.56189,4.11494,1.96485,0.54414,0.85,0.8936,0.63825,1.68403,1.05992,1.37583,5.65548e-06,5.65548e-06,5.65548e-06
7,29.1931,1.13976,1.91386,1.41952,0.53944,0.85172,0.89406,0.64255,1.68268,1.0607,1.37528,6.71588e-06,6.71588e-06,6.71588e-06
8,32.5733,1.37612,4.02048,1.61443,0.55029,0.85949,0.85911,0.61257,1.64201,1.05877,1.35113,7.75273e-06,7.75273e-06,7.75273e-06
9,35.8627,1.11618,2.70469,1.41099,0.56884,0.86386,0.81827,0.59503,1.6635,1.06076,1.36163,8.76602e-06,8.76602e-06,8.76602e-06
10,40.5064,1.18655,3.44802,1.59516,0.57996,0.86406,0.81417,0.59502,1.65531,1.05795,1.35492,9.75574e-06,9.75574e-06,9.75574e-06
11,43.6671,1.20761,2.46993,1.45278,0.59064,0.8637,0.85595,0.61995,1.65248,1.06457,1.35423,1.07219e-05,1.07219e-05,1.07219e-05
12,46.8476,0.9914,2.007,1.36598,0.58565,0.86399,0.85561,0.62083,1.66152,1.07508,1.36184,1.16645e-05,1.16645e-05,1.16645e-05
13,51.719,0.87115,2.23867,1.132,0.59052,0.86667,0.85501,0.62082,1.64835,1.07481,1.35181,1.25835e-05,1.25835e-05,1.25835e-05
14,56.2167,1.08319,2.1903,1.48359,0.59792,0.86667,0.88803,0.62731,1.65165,1.09533,1.35624,1.3479e-05,1.3479e-05,1.3479e-05
15,59.3896,0.92888,1.64872,1.12293,0.60723,0.86667,0.88802,0.62731,1.65073,1.10291,1.35735,1.43509e-05,1.43509e-05,1.43509e-05
16,62.4938,1.22329,2.48123,1.62352,0.61054,0.86667,0.87512,0.62676,1.66234,1.12442,1.36696,1.51993e-05,1.51993e-05,1.51993e-05
